#Datasets	P10N Illumina	P10N Nanopore	P10N Illumina 16S	P10R Illumina	P10R Nanopore	P10V Illumina	P10V Nanopore	P10V Illumina 16S
"Dacini"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bactrocera"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"Viruses"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"dsDNA viruses, no RNA stage"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Caudovirales"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Siphoviridae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Lambdavirus"	2.0	1.0	0.0	14.0	16.0	0.0	0.0	0.0
"unclassified Siphoviridae"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"unclassified phages"	0.0	0.0	0.0	0.0	0.0	32.0	10.0	0.0
"unclassified sequences"	2.0	4.0	0.0	0.0	0.0	3.0	14.0	0.0
